;skew;kurtosis;sigma_theta_mean;sigma_theta_median;sigma_theta_low5;sigma_theta_high95;beta_mean;beta_median;beta_low5;beta_high95;sector;Retail %
LKQ;-0.24456938456791066;2.290.044.064.926.050;2.086.087;20.808.423;0.6178935527801515;3.572.744.596.004.480;0.81090754;0.81456053;0.726853659749031;0.8819306641817093;Consumer Discretionary;
LMT;-0.3364519285138113;15.645.032.850.293.100;20.685.709;20.650.353;0.606177803874016;35.804.072.260.856.600;0.7649048;0.7659485;0.6650451421737671;0.8609271556138992;Industrials;
L;-0.42241690788668373;18.248.055.440.639.000;20.901.816;209.059;0.5793153196573257;3.584.091.413.021.080;0.7848299;0.7871143;0.690307879447937;0.8719408512115476;Financials;
LOW;-11.174.828.526.875.200;23.090.346.195.006.300;20.847.363;20.918.694;0.6010686844587326;35.633.925.437.927.200;0.8047764;0.8083199;0.7135839760303497;0.8822998583316803;Consumer Discretionary;
LULU;-0.13288050539351312;12.491.674.898.957.500;2.068.959;20.677.967;0.5513415098190309;3.578.264.582.157.130;0.7254616;0.72523767;0.6160622835159302;0.8376151710748673;Consumer Discretionary;
LYB;-0.5642970221643845;19.012.862.552.412.400;20.603.435;2.063.128;0.5711392521858215;3.572.933.137.416.830;0.7889552;0.7912488;0.6941626220941544;0.8745888233184814;Materials;
MTB;0.6765384422739918;15.169.063.297.751.100;20.423.965;2.038.437;0.5435771524906159;3.542.725.038.528.440;0.762589;0.76434124;0.6568877309560776;0.8639049142599105;Financials;
MRO;-0.8897630572069182;2.630.957.755.016.370;20.860.445;20.957.708;0.5401029735803604;35.712.604.045.867.900;0.81911075;0.82368153;0.735651108622551;0.8871547162532806;Energy;
MPC;-0.30301602012262696;15.918.987.345.573.600;20.691.636;20.765.748;0.5738129794597626;3.556.718.111.038.200;0.76646423;0.76752687;0.66662877202034;0.8616237372159957;Energy;
MKTX;-0.40486072120346017;1.105.277.775.588.650;20.525.143;20.613.735;0.5433446675539017;3.578.446.686.267.850;0.6944484;0.6923826;0.5746703833341599;0.819092908501625;Financials;
MAR;0.471653323440339;12.313.028.744.451.600;20.794.456;20.763.152;0.5444326311349869;35.944.515.109.062.100;0.723065;0.7221691;0.6095735698938369;0.8417487770318985;Consumer Discretionary;
MMC;-0.129546914748207;1.617.709.596.805.390;20.810.277;2.066.369;0.6074319601058961;35.842.614.650.726.300;0.7711252;0.7718847;0.6757685303688049;0.863124531507492;Financials;
MLM;0.05738418754922361;9.523.901.363.879.870;2.069.133;20.679.505;0.5568405240774156;3.579.127.192.497.250;0.6581967;0.6548914;0.5311954110860825;0.7973261773586272;Materials;
MAS;0.1821995456054691;8.725.057.371.768.980;2.058.997;20.546.384;0.5470881283283234;3.560.481.369.495.390;0.6283591;0.62441295;0.4928363338112831;0.7760933220386504;Industrials;
MA;0.3171310880633454;11.705.374.260.024.500;20.689.936;20.678.825;0.5555920243263245;35.861.908.078.193.600;0.71255374;0.71152234;0.5985070675611496;0.8316206336021422;Financials;
MTCH;0.272724325881398;9.337.880.960.555.950;20.574.832;205.272;0.5648840069770813;35.619.586.586.952.200;0.6517946;0.6486509;0.520496928691864;0.7934934198856354;Communication Services;
MKC;0.011628011268319225;1.821.193.862.604.490;20.585.172;20.570.097;0.5760730624198914;35.797.363.519.668.500;0.78921396;0.7921227;0.69818494617939;0.8717016339302063;Consumer Staples;
MCD;0.4310571105747952;3.586.169.129.158.230;20.911.133;20.940.413;0.5918073773384095;35.885.058.760.643;0.842488;0.8460301;0.7819013386964798;0.891094160079956;Consumer Discretionary;
MCK;0.31278400020830127;9.191.914.183.432.490;20.258.627;20.147.471;0.533945941925049;35.479.951.858.520.500;0.64908445;0.64604366;0.5164081424474716;0.7936917811632156;Health Care;
MDT;-0.19289065102372327;10.922.163.927.768.700;20.536.597;20.405.636;0.5490623116493225;3.587.024.199.962.610;0.69501895;0.69218487;0.5800001591444016;0.819196781516075;Health Care;
MRK;-0.03225048492173345;925.768.443.749.081;2.045.888;20.480.714;0.5409844011068345;35.692.220.091.819.700;0.6491442;0.6464248;0.5199776351451874;0.7906168580055236;Health Care;
META;-0.43508750126078755;2.156.474.080.944.710;20.877.852;20.798.943;0.6081941694021225;35.832.944.154.739.300;0.80428946;0.8075203;0.7164521157741547;0.8805361807346344;Communication Services;
MET;-0.32624045686802255;15.190.408.779.915.800;20.693.493;2.067.875;0.5623091697692871;35.876.303.791.999.800;0.7595014;0.75928193;0.6610127866268158;0.8579141676425933;Financials;
MTD;-0.15567199859716904;6.231.953.624.535.910;20.448.859;20.465.245;0.5363280713558197;3.559.472.477.436.060;0.47039872;0.4636924;0.29814943969249724;0.6725295960903167;Health Care;
MGM;0.060045590767965965;23.569.610.183.712.000;20.884.929;20.887.442;0.5775541126728058;36.039.622.426.033.000;0.8161667;0.8190145;0.737930354475975;0.8845389068126679;Consumer Discretionary;
MCHP;-0.09773245240913997;8.527.885.136.780.150;20.418.491;20.312.696;0.5217924892902375;3.578.803.360.462.180;0.6219979;0.6182941;0.48409127742052077;0.7732394665479659;Information Technology;
MU;0.026375248910465218;5.975.619.340.638.580;2.037.622;2.032.576;0.5502721250057221;35.617.200.851.440.400;0.4415361;0.43361133;0.26159948110580444;0.6470243513584136;Information Technology;
MSFT;0.010378527837687045;9.561.836.616.116.370;20.658.746;20.714.765;0.568422383069992;3.567.953.407.764.430;0.6589603;0.65672386;0.5321265667676925;0.7955821216106415;Information Technology;
MAA;-0.7738158383040988;16.604.330.477.513.800;2.077.045;20.768.888;0.5767474412918091;3.589.458.072.185.510;0.7679185;0.7695845;0.6651820689439774;0.8655064910650253;Real Estate;
MRNA;0.6704027352656022;649.093.867.209.448;20.429.626;20.437.632;0.5179624319076539;35.588.598.489.761.300;0.47527564;0.46993595;0.29912457168102263;0.6738078296184539;Health Care;
MHK;-0.5354158847178762;1.684.201.461.707.190;20.614.607;20.505.524;0.5736659049987793;35.807.455.062.866.200;0.7731219;0.7749988;0.6722184598445893;0.8654357105493545;Consumer Discretionary;
MOH;0.4414662200804537;10.457.570.137.417.000;2.069.722;2.067.534;0.5389134287834167;35.840.113.997.459.300;0.682305;0.680426;0.5567956358194351;0.8149109065532684;Health Care;
TAP;-0.5578992067374102;9.854.585.450.281.260;20.501.602;2.054.653;0.5334413141012192;35.706.806.421.279.900;0.6591435;0.65820444;0.5275508463382721;0.7976446121931074;Consumer Staples;
MDLZ;0.07706857015264312;15.117.461.555.880.300;2.067.357;20.637.956;0.5772561699151993;3.575.727.474.689.480;0.76235;0.76331246;0.664325013756752;0.8579713881015777;Consumer Staples;
MPWR;0.22776681851628705;7.626.229.799.845.690;20.711.646;20.674.489;0.553499498963356;35.920.256.137.847.800;0.57586044;0.5712327;0.42985448986291885;0.7412981659173963;Information Technology;
MNST;-0.1635732704117544;9.804.953.967.456.430;20.671.723;20.612.497;0.5326745182275772;3.608.767.104.148.860;0.6645531;0.6613244;0.5406754463911057;0.8031135827302932;Consumer Staples;
MCO;0.13709505628949806;1.550.053.831.483.840;20.829.816;20.731.683;0.5959708869457245;3.588.171.815.872.190;0.76672506;0.7682614;0.6695294499397277;0.8608370631933212;Financials;
MS;0.5269189676221236;16.469.593.167.886.300;2.078.418;20.770.445;0.5834806144237519;3.550.740.337.371.820;0.7755343;0.7773273;0.6785182088613511;0.867809721827507;Financials;
MOS;-0.293989617800836;10.720.407.685.283.900;2.062.575;2.055.731;0.542868447303772;35.886.049.151.420.500;0.6871173;0.68561053;0.5682124465703964;0.8144101053476334;Materials;
MSI;0.164339565592327;12.204.014.526.730.200;20.618.532;20.690.868;0.5572818458080293;3.558.390.986.919.400;0.72413075;0.72292477;0.6144721150398255;0.8406043022871017;Information Technology;
MSCI;-0.008828431156567017;10.977.762.160.800.700;20.570.858;2.052.596;0.5531889796257019;35.860.064.506.530.700;0.6973841;0.6952617;0.5818200170993805;0.8223671555519104;Financials;
NDAQ;-0.09631202698971365;13.315.423.982.039.800;20.736.263;20.715.895;0.567249521613121;35.818.735.122.680.600;0.7389539;0.7393762;0.633084985613823;0.8449522823095321;Financials;
NTAP;-0.20368532407243112;13.843.573.805.740.300;20.710.316;20.695.915;0.5720015406608582;35.464.543.938.636.700;0.7438812;0.74375606;0.6421872645616531;0.8480335861444473;Information Technology;
NFLX;-10.103.107.796.953.200;21.221.753.331.060.500;20.956.695;20.836.291;0.6184371501207353;36.147.257.089.614.800;0.7963723;0.8000661;0.7006501972675323;0.879402807354927;Communication Services;
NEM;0.27043169212674817;8.745.215.116.787.700;20.506.704;20.400.596;0.5314704835414887;3.570.959.591.865.530;0.62976104;0.6262272;0.49182533621788027;0.7828504830598831;Materials;
NWSA;-0.14112968587312402;9.502.458.057.235.540;20.542.397;2.056.415;0.5492614686489107;35.590.420.961.380.000;0.65771085;0.65451586;0.5308145493268966;0.7964948534965515;Communication Services;
NWS;-0.264685396464339;10.220.290.607.431.200;2.059.476;2.067.885;0.5513053357601166;35.664.659.738.540.600;0.6749025;0.67385375;0.5517388373613358;0.8027082085609436;Communication Services;
NEE;-0.1406503693177548;12.806.713.423.079.700;20.657.573;20.564.694;0.5804250061511994;3.590.461.933.612.820;0.73148215;0.7306575;0.6248654723167419;0.8418131291866302;Utilities;
NKE;0.31729847837140834;12.372.561.878.549.200;2.046.823;2.044.989;0.5646973103284836;35.725.568.056.106.500;0.72615;0.7257942;0.6140173196792602;0.840713381767273;Consumer Discretionary;
NI;-0.5442730150472547;23.491.350.443.053.200;20.695.415;20.744.305;0.5691030472517014;35.636.075.496.673.500;0.81187147;0.81603825;0.7259256154298782;0.8848208963871002;Utilities;
NDSN;-0.20801389066690135;21.615.590.353.636.900;20.662.622;20.631.104;0.5722466349601746;3.568.350.195.884.700;0.80688685;0.81050193;0.7223061144351959;0.8806109577417374;Industrials;
NSC;0.0863349608929982;14.130.487.169.783.500;20.493.429;20.396.073;0.5444001317024232;358.056.401.014.328;0.75182915;0.75192755;0.6483589589595795;0.8553683400154114;Industrials;
NTRS;0.20137903873542215;15.604.373.209.378.300;2.050.785;20.507.085;0.5427300423383713;35.547.919.034.957.800;0.7686381;0.7697735;0.6707990199327469;0.8649657040834425;Financials;
NOC;0.12574100075573183;10.510.307.392.790.000;2.055.528;20.617.046;0.5254950225353241;3.573.334.801.197.050;0.68717176;0.6846678;0.5679462283849717;0.8148911744356154;Industrials;
NCLH;0.27430515363003305;17.539.382.221.344.800;2.084.778;20.943.599;0.589476466178894;3.571.051.466.464.990;0.7848376;0.7865925;0.6930924952030182;0.871114483475685;Consumer Discretionary;
NRG;-0.5101405316324242;12.756.242.567.727.300;20.707.073;20.616.376;0.5702763766050339;359.202.696.084.976;0.7239063;0.72399366;0.6118808060884475;0.8368013769388198;Utilities;
NUE;-0.16664368134699598;6.885.638.166.665.920;20.509.276;20.487.885;0.5340675204992295;3.571.398.961.544.030;0.5280394;0.5222337;0.36478782147169114;0.7122422516345978;Materials;
NVDA;0.1635503367881646;7.843.223.631.138.290;20.575.354;2.071.992;0.5408018887042999;35.922.196.745.872.400;0.5894704;0.58521426;0.444631727039814;0.7501010060310364;Information Technology;
NVR;0.27243245858557186;1.858.502.166.179.280;2.071.552;20.635.521;0.6013110309839249;3.578.788.602.352.140;0.7915058;0.7947347;0.7009792417287827;0.872460314631462;Consumer Discretionary;
NXPI;0.08427082205679859;8.445.045.317.294.250;20.536.358;2.033.578;0.552700424194336;35.629.957.437.515.200;0.617863;0.6137884;0.4820933103561401;0.7681013196706772;Information Technology;
ORLY;-0.43057874403196544;16.646.691.474.938.800;20.707.242;20.595.164;0.5614985257387162;3.592.499.613.761.900;0.77203584;0.7737533;0.6736793458461762;0.8657390087842941;Consumer Discretionary;
OXY;-0.8639483157877392;3.845.475.204.139.550;2.083.309;2.077.889;0.574854987859726;35.890.347.957.611.000;0.84365153;0.84750426;0.781930822134018;0.8919912338256836;Energy;
ODFL;-0.1808426548494181;7.114.108.079.208.920;20.476.081;20.520.198;0.5488755732774735;35.709.756.016.731.200;0.543762;0.5390514;0.38362704366445544;0.7217879861593243;Industrials;
OMC;0.2900939512758838;11.460.194.135.984.700;20.448.802;2.044.456;0.5331896424293519;3.590.635.621.547.690;0.7087493;0.7066449;0.5927633255720138;0.8337378650903702;Communication Services;
ON;-0.05574156283749881;10.775.479.631.345.700;20.554.779;2.057.211;0.5364696353673936;3.565.571.665.763.850;0.6923333;0.6913202;0.5737207978963852;0.8195547223091125;Information Technology;
OKE;-16.874.631.910.232.700;48.908.445.979.954.000;20.615.206;20.592.957;0.5487704128026962;35.784.902.572.631.800;0.85108274;0.8543483;0.797813794016838;0.8930031180381774;Energy;
ORCL;0.6890253201729931;21.588.607.189.423.700;20.787.551;20.680.504;0.5738334000110626;35.935.967.803.001.300;0.8088126;0.8117995;0.724956476688385;0.8826031237840652;Information Technology;
OTIS;0.5307324033883977;1.071.581.631.639.570;205.743;2.053.832;0.5414186775684358;35.854.508.519.172.600;0.6889603;0.68707633;0.5625327289104461;0.8223379909992218;Industrials;
PCAR;0.4860493808320538;931.840.611.190.123;2.053.501;20.508.237;0.537668263912201;3.573.043.012.619.010;0.64719003;0.64347655;0.5116943806409836;0.7956774115562438;Industrials;
PKG;0.3150270635839709;10.570.315.086.029.800;20.453.703;20.518.515;0.5566765099763871;35.364.818.215.370.100;0.68838006;0.6855949;0.5678220331668854;0.8185833990573883;Materials;
PANW;-0.6993330581812167;19.818.718.170.498.100;20.921;20.923.972;0.5771900475025177;35.939.221.739.768.900;0.7928322;0.79582167;0.697544053196907;0.8767756789922714;Information Technology;
PARA;-0.3227539235549365;17.488.646.760.998.700;20.649.004;20.692.744;0.5699215024709702;356.666.613.817.215;0.78159744;0.78362566;0.6872407823801041;0.8702682673931121;Communication Services;
PH;-0.0672947760630085;13.408.516.287.980.800;2.071.536;2.070.707;0.5469697684049607;3.597.507.917.881.010;0.7415813;0.7415781;0.6370896220207214;0.8471744388341904;Industrials;
PAYX;-0.3955639440627069;25.235.772.692.877.800;20.848.675;2.066.542;0.6192781150341033;35.882.149.934.768.600;0.8190603;0.82280433;0.7384010702371597;0.8865396738052368;Industrials;
PAYC;-12.396.713.904.415.100;2.314.456.222.589.300;20.875.301;20.710.263;0.5913807660341264;35.822.177.052.497.800;0.8037341;0.80800676;0.7103482753038406;0.8818303406238556;Industrials;
PYPL;-0.4206283374884552;11.281.625.691.923.900;20.574.474;20.500.746;0.5331702560186387;35.798.913.717.269.800;0.69897795;0.6977117;0.5797122329473495;0.823539850115776;Financials;
PNR;-0.19192838609981125;15.100.253.480.733.400;2.058.386;20.554.943;0.5724010556936264;3.577.765.154.838.560;0.76040465;0.7608723;0.6620666176080704;0.8567013144493103;Industrials;
PEP;-0.15286628881113143;23.024.268.900.685.000;2.085.311;2.089.332;0.5668783605098725;35.867.985.963.821.300;0.81329143;0.81684566;0.7320662945508957;0.8834139883518218;Consumer Staples;
PFE;0.22568705440756098;7.485.528.445.695.200;20.543.668;20.572.248;0.5422364562749863;35.970.359.086.990.300;0.5681391;0.5635508;0.41497659087181094;0.7377833515405654;Health Care;
PCG;16.503.541.827.483.300;6.987.547.108.108.310;20.878.503;20.616.646;0.607583698630333;35.861.827.731.132.500;0.85938704;0.86130625;0.8181040793657303;0.893636092543602;Utilities;
PM;-11.824.293.082.201.300;16.139.948.595.192.600;20.653.977;20.611.963;0.5482683777809143;35.711.335.897.445.600;0.76091945;0.7638731;0.6466031491756439;0.8658173114061355;Consumer Staples;
PSX;0.27528380076660647;1.190.545.989.833.250;20.700.238;20.861.773;0.5504793047904969;35.782.311.916.351.300;0.7167019;0.7146794;0.6022981107234955;0.8365140527486801;Energy;
PNW;-0.5789477362925034;18.097.838.019.000.400;20.685.444;20.811.605;0.5532669991254808;35.745.537.042.617.700;0.78258586;0.7856075;0.6853400051593781;0.8714808851480483;Utilities;
PNC;0.014702391009169405;11.038.544.087.366.000;20.623.167;20.635.712;0.5508250832557678;3.572.159.123.420.710;0.6979895;0.6957279;0.5831788957118988;0.8212562054395675;Financials;
POOL;-0.5555767090058714;1.088.644.286.128.890;20.417.745;20.359.657;0.5412514328956605;3.551.875.805.854.790;0.6875297;0.6856837;0.5658873558044434;0.8164964795112609;Consumer Discretionary;
PPG;-0.2908572818259343;939.274.062.116.215;20.518.034;20.498.893;0.5253242671489716;35.825.137.257.575.900;0.6486812;0.6464645;0.5190324902534484;0.7895734518766402;Materials;
PPL;-0.21718965865854487;1.585.791.558.910.890;20.657.153;20.677.824;0.5648645639419556;3.558.519.411.087.030;0.7677914;0.76891416;0.6695143014192582;0.8617036789655685;Utilities;
PFG;0.2405259447715476;17.064.761.612.962.600;20.846.918;20.774.941;0.5669410020112993;36.045.101.284.980.700;0.7809255;0.78272796;0.6860015302896499;0.8697729289531707;Financials;
PG;0.28706782532435227;150.730.814.821.563;20.657.356;20.590.515;0.5634098291397095;35.492.401.719.093.300;0.7633204;0.7646593;0.6626067399978638;0.8609162122011185;Consumer Staples;
PGR;-0.12612505170263738;1.080.584.319.109.470;20.666.227;20.649.762;0.5300000995397568;35.973.998.427.391.000;0.6925345;0.6902273;0.5770623683929443;0.8190496742725372;Financials;
PLD;-0.3929898330874847;12.561.781.679.333.800;20.444.336;2.039.353;0.5335260808467865;35.603.401.184.082.000;0.72428447;0.72416365;0.6150142908096313;0.8377945810556412;Real Estate;
PRU;-0.2983945040096206;19.520.695.880.496.900;20.840.325;20.852.156;0.5935356318950654;3.592.203.986.644.740;0.7949152;0.7979026;0.7034367710351944;0.8758968502283097;Financials;
PEG;-0.09166050157343537;10.787.766.198.489.300;20.363.483;2.021.513;0.5420260399580002;3.570.725.262.165.060;0.6929128;0.6909915;0.5735672801733017;0.8208292961120605;Utilities;
PTC;-0.35617436072927305;12.769.956.326.791.700;20.451.055;20.554.817;0.5451255291700363;35.859.703.063.964.800;0.72803503;0.7273873;0.6200018495321273;0.8390423446893692;Information Technology;
PSA;-0.6149432650471782;8.359.831.527.322.290;20.497.403;20.522.337;0.5243754923343659;3.566.220.605.373.380;0.6030821;0.60076684;0.450026823580265;0.7637488722801208;Real Estate;
PHM;0.09111268990711083;14.848.153.744.869.600;20.729.485;20.681.071;0.566090726852417;3.575.696.837.902.060;0.76035625;0.7615956;0.6585098683834076;0.8596136271953583;Consumer Discretionary;
QRVO;0.3404351732327482;9.068.589.154.478.440;20.638.359;20.682.147;0.5237493842840195;3.562.640.750.408.170;0.64156145;0.63761044;0.5052413552999496;0.7914053320884704;Information Technology;
PWR;0.3559395990953013;9.204.587.244.869.510;20.459.137;20.447.695;0.526422718167305;35.695.948.004.722.500;0.6464067;0.6424012;0.5133339762687683;0.7943352609872817;Industrials;
QCOM;0.6549078856726488;1.169.524.151.886.310;2.059.324;20.561.328;0.5796248733997346;35.702.508.091.926.500;0.7084117;0.7070669;0.5859534502029419;0.834444126486778;Information Technology;
DGX;-0.12355408277342562;11.938.166.357.636.700;20.534.966;20.406.318;0.5679056882858277;3.575.774.073.600.760;0.71685517;0.71548367;0.6067878931760788;0.8326573610305786;Health Care;
RL;0.4033630002544019;9.538.844.758.366.220;20.554.292;20.527.682;0.5395707488059998;3.588.620.579.242.700;0.6572345;0.6552162;0.5249685406684875;0.8006713002920149;Consumer Discretionary;
RJF;0.3361286979005511;11.210.177.996.669.000;20.766.487;20.773.468;0.5329122990369797;3.595.076.417.922.970;0.7017707;0.7002414;0.584352770447731;0.8271007418632508;Financials;
RTX;0.04475182728126041;15.372.966.494.250.800;20.618.856;20.541.596;0.5550663590431213;3.599.235.641.956.320;0.7653172;0.7663547;0.6660124301910401;0.8616543143987656;Industrials;
O;-2.203.624.944.187.770;4.718.076.364.696.390;2.074.068;20.793.548;0.5563415318727494;35.883.683.323.860.100;0.84386736;0.8463286;0.7874099850654602;0.8903790146112441;Real Estate;
REG;19.968.011.948.188.700;53.875.683.402.964.800;20.905.805;2.091.548;0.5680374354124069;35.917.624.711.990.300;0.85340685;0.85517156;0.8074158489704132;0.8920832335948944;Real Estate;
REGN;0.6460229951907276;10.640.691.175.204.700;20.746.045;20.707.426;0.5665758699178696;36.043.350.458.145.100;0.6836701;0.6817379;0.5530700385570526;0.819915559887886;Health Care;
RF;-0.24229080003908962;11.317.248.941.556.300;20.491.843;20.444.417;0.5229065030813217;3.550.318.658.351.890;0.70271885;0.701242;0.5860007584095002;0.8252991676330566;Financials;
RSG;-0.7905761456471104;16.036.620.133.045.500;20.770.092;2.069.245;0.5652698546648026;35.871.776.103.973.300;0.76216966;0.7635215;0.6568470567464828;0.8639165252447127;Industrials;
RMD;-0.31972486249736987;2.269.860.537.097.870;20.792.565;20.784.087;0.5926549762487412;36.035.289.645.195.000;0.81095695;0.8148347;0.7264697253704071;0.8829680293798446;Health Care;
RVTY;-0.44947428731539585;7.988.202.972.263.100;20.445.766;20.362.687;0.5414584249258042;3.552.776.074.409.480;0.58803016;0.5843361;0.43301711082458494;0.754481902718544;Health Care;
RHI;0.4288389214304043;12.236.927.888.269.000;20.544.422;20.571.508;0.5515830665826797;3.579.622.292.518.610;0.7217165;0.7216219;0.6086672604084015;0.8374728411436081;Industrials;
ROK;-0.46589520056782063;1.665.881.358.501.430;20.626.152;20.537.925;0.5708300292491914;35.609.225.392.341.600;0.77207196;0.77344763;0.6744463294744492;0.8660475164651871;Industrials;
ROL;-0.5770334979975895;10.813.673.402.896.000;20.486.689;20.579.133;0.5184069722890854;35.791.548.371.315;0.6862441;0.6848632;0.5626845836639405;0.8159178882837296;Industrials;
ROP;-0.321698753783076;11.630.660.665.794.500;20.552.065;20.571.947;0.5368180930614471;3.566.443.121.433.250;0.7074897;0.7062374;0.5930355906486511;0.8272084802389145;Information Technology;
ROST;-0.47465465939369317;20.171.428.693.772.200;20.636.563;2.063.941;0.5475113719701767;357.555.193.901.062;0.79735976;0.80029047;0.7050588428974152;0.8778603166341782;Consumer Discretionary;
RCL;0.16091191127374274;15.333.086.572.733.800;20.698.612;20.709.362;0.5658211499452591;35.682.307.124.137.800;0.76503384;0.76641154;0.664588063955307;0.8613507270812988;Consumer Discretionary;
SPGI;-0.105824137936739;14.065.008.611.409.100;2.051.692;20.487.392;0.5510091066360474;3.574.784.469.604.490;0.7498789;0.7500486;0.647017315030098;0.851660880446434;Financials;
CRM;0.652912850714504;15.730.932.522.550.400;20.701.854;20.635.905;0.5633374750614166;35.990.933.418.273.900;0.768611;0.77050066;0.6650799125432968;0.8660791933536529;Information Technology;
SBAC;0.14668644169921807;679.672.208.493.288;2.053.503;2.050.362;0.5463174998760224;3.569.336.104.393.000;0.5218602;0.5160104;0.3584952637553215;0.7035766988992691;Real Estate;
SLB;-0.2641955123045533;12.390.789.375.556.700;20.723.727;2.066.801;0.5675992250442505;3.595.475.041.866.300;0.7218379;0.720459;0.61268729865551;0.8358396351337433;Energy;
STX;-0.16782349127899762;6.737.865.711.602.630;2.060.245;20.650.592;0.5324054569005967;3.593.482.744.693.750;0.5159467;0.5130915;0.3472708538174629;0.7001951724290847;Information Technology;
SRE;-0.275941061943765;23.985.473.178.371.600;20.686.505;2.057.118;0.5627915233373643;35.739.959.955.215.400;0.81533486;0.8189558;0.7335476905107499;0.8840488642454147;Utilities;
NOW;0.1332795895704715;5.587.885.845.464.670;20.418.372;20.379.682;0.5184354543685913;35.727.104.544.639.500;0.39202347;0.38304994;0.21188268586993217;0.6008037835359573;Information Technology;
SHW;-0.320000482484348;1.581.493.143.011.680;2.081.564;20.860.627;0.5602129936218262;35.957.000.374.794.000;0.7659751;0.7672477;0.6684099435806274;0.8605144768953323;Materials;
SPG;0.134931345526377;27.573.299.432.836.000;20.903.485;20.908.954;0.5905356258153915;35.770.086.765.289.300;0.82786447;0.8316847;0.7569391936063766;0.8867313772439956;Real Estate;
SWKS;0.14911270693569798;8.346.862.641.752.340;20.543.149;20.493.965;0.52560955286026;35.788.967.370.986.900;0.6141413;0.6093677;0.4754628881812096;0.7696143716573715;Information Technology;
SJM;-0.37616583658811825;9.661.242.246.991.640;20.553.172;20.679.605;0.5271601438522339;3.554.911.351.203.910;0.6564254;0.653504;0.5296679943799972;0.7964631587266922;Consumer Staples;
SNA;-0.050748907105202856;9.441.560.147.262.840;20.551.758;20.528.915;0.545627123117447;357.041.996.717.453;0.65626067;0.6526585;0.5299569129943847;0.7969782382249831;Industrials;
SOLV;0.425652598302641;2.057.022.078.397.640;0.77642107;0.5838733;0.28111282289028167;253.613.666.296.005;0.13412578;0.1253601;0.10194567553699016;0.19497221484780305;Health Care;
SO;0.8043961994883596;26.616.403.801.437.200;209.038;20.869.374;0.5884654134511949;35.833.961.129.188.500;0.8253515;0.8294016;0.7515971809625626;0.8863494217395782;Utilities;
LUV;-0.09853330701233991;888.009.961.756.599;2.061.984;2.062.162;0.5453484565019607;35.711.622.118.949.800;0.6349972;0.63221943;0.49932497888803484;0.7826964110136031;Industrials;
SWK;-0.13106090548745794;17.705.993.147.640.400;20.757.575;20.724.874;0.5863693118095398;35.760.065.793.991.000;0.78457546;0.7869803;0.6923388838768005;0.8714340060949325;Industrials;
SBUX;0.23438716321111994;14.822.756.297.448.800;20.685.382;20.697.293;0.5680196732282639;359.323.935.508.728;0.75947344;0.7606578;0.6590941965579986;0.8576106458902358;Consumer Discretionary;
STT;0.0690678586633825;13.989.160.946.529.100;20.588.396;2.046.815;0.5464895755052567;35.587.718.367.576.500;0.7492837;0.7493062;0.6450600981712341;0.8537419468164443;Financials;
STLD;0.0755583244176819;9.609.856.519.923.280;20.490.203;2.047.019;0.5549789696931839;35.366.987.228.393.500;0.66172606;0.6586045;0.5343302667140961;0.8010063320398328;Materials;
STE;-0.34862305160026213;9.909.928.503.801.840;20.684.574;20.656.493;0.5538006335496903;3.592.137.575.149.530;0.6641154;0.6618175;0.5377517819404602;0.8003760308027267;Health Care;
SYK;-0.007890008136174399;12.922.440.705.846.100;20.642.557;20.592.568;0.5559909075498581;35.945.839.047.431.900;0.73347783;0.7332281;0.6278160363435745;0.8432289898395539;Health Care;
SMCI;0.7578398345643597;23.177.226.175.355.100;20.794.976;20.652.678;0.578846749663353;3.589.743.995.666.500;0.8152011;0.8186273;0.7346745699644088;0.8838403552770614;Information Technology;
SYF;-0.48109373721237386;14.709.942.049.663.400;20.690.079;20.619.671;0.5518750786781311;3.583.349.061.012.260;0.75398767;0.75463986;0.6509389966726303;0.8572232455015182;Financials;
SNPS;0.12880378391888223;6.634.187.144.343.360;2.046.094;20.440.395;0.5446976125240326;35.539.824.366.569.500;0.50806016;0.5028917;0.3415029853582382;0.6954583853483198;Information Technology;
SYY;0.13266747458685305;26.318.870.157.561.600;20.804.648;20.728.836;0.582125985622406;36.063.699.483.871.400;0.8242697;0.8285781;0.7484672933816909;0.8864935636520386;Consumer Staples;
TMUS;0.38004109417341253;11.339.466.621.659.200;2.061.458;20.707.417;0.5601682156324387;35.725.541.949.272.100;0.7042358;0.7021935;0.5871465116739273;0.8296230673789978;Communication Services;
TROW;0.3911243393509991;12.015.762.692.313.300;20.529.172;20.368.335;0.5640539854764939;35.692.431.926.727.200;0.71914285;0.7184968;0.6049009025096893;0.8362549811601638;Financials;
TTWO;-0.3445223743164514;8.405.849.870.016.510;20.460.267;20.334.349;0.5373719215393067;3.573.850.739.002.220;0.6125885;0.60945404;0.47120207995176316;0.764641174674034;Communication Services;
TPR;-0.30369133580704044;188.167.453.856.986;20.703.847;20.661.483;0.5525651037693023;358.388.431.072.235;0.79102844;0.79344213;0.6994779616594314;0.8754113256931305;Consumer Discretionary;
TRGP;-25.748.085.074.058.400;5.586.431.598.525.190;20.642.233;2.056.127;0.5766483694314957;35.635.430.097.579.900;0.8476578;0.8499162;0.7973914027214051;0.8904567509889603;Energy;
